Date,Volume(),Change,Close
2/27/2019,47.5,0.42,2954
2/26/2019,56.56,-0.67,2942
2/25/2019,52.87,5.6,2961
2/22/2019,30.15,1.91,2804
2/21/2019,29.87,-0.34,2752
2/20/2019,24.6,0.002,2761
2/19/2019,28.8,0.0005,2756
2/18/2019,26.04,0.0268,2754
2/15/2019,19.6,-0.0137,2682
2/14/2019,19.7,-0.0005,2720
2/13/2019,24.38,0.0184,2721
2/12/2019,18.41,0.0068,2672
2/11/2019,15.49,0.0136,2654
2/1/2019,13.2,0.013,2618
1/31/2019,15.43,0.0035,2585
1/30/2019,12.05,-0.0072,2576
1/29/2019,15.56,-0.0011,2594
1/28/2019,14.7,-0.0018,2597
1/25/2019,15.94,0.0039,2602
1/24/2019,15.4,0.0041,2592
1/23/2019,13.14,0.0005,2581
1/22/2019,15.25,-0.0118,2580
1/21/2019,16.34,0.0056,2611
1/18/2019,19.08,0.0142,2596
1/17/2019,16.25,-0.0042,2560
1/16/2019,14.93,0,2570
1/15/2019,16.03,0.0136,2570
1/14/2019,14.48,-0.0071,2536
1/11/2019,14.94,0.0074,2554
1/10/2019,15.99,-0.0036,2535
1/9/2019,19.19,0.0071,2544
1/8/2019,15.81,-0.0026,2526
1/7/2019,17.73,0.0072,2533
1/4/2019,16.89,0.0205,2515
1/3/2019,12.44,-0.0004,2464
1/2/2019,10.99,-0.0115,2465
